iso3,year,rule_of_law
ABW,2015,1.2266230583190918
ABW,2016,1.2264420986175537
ABW,2017,1.2948315143585205
ABW,2018,1.2594119310379028
ABW,2019,1.2277616262435913
AND,2015,1.5129890441894531
AND,2016,1.5133118629455566
AND,2017,1.5349280834197998
AND,2018,1.536625862121582
AND,2019,1.5104848146438599
AFG,2015,-1.5152026414871216
AFG,2016,-1.5207139253616333
AFG,2017,-1.5837368965148926
AFG,2018,-1.688586711883545
AFG,2019,-1.7413188219070435
AGO,2015,-1.030846118927002
AGO,2016,-1.0038655996322632
AGO,2017,-1.039731502532959
AGO,2018,-1.000932216644287
AGO,2019,-1.0251909494400024
AIA,2015,-0.0803942009806633
AIA,2016,-0.12312047183513641
AIA,2017,-0.14618398249149323
AIA,2018,-0.14276118576526642
AIA,2019,0.30035898089408875
ALB,2015,-0.31899744272232056
ALB,2016,-0.3213648498058319
ALB,2017,-0.4127623736858368
ALB,2018,-0.41418784856796265
ALB,2019,-0.42537882924079895
ARE,2015,0.6141140460968018
ARE,2016,0.8191807866096497
ARE,2017,0.7679831385612488
ARE,2018,0.7743330597877502
ARE,2019,0.8080570697784424
ARG,2015,-0.7488423585891724
ARG,2016,-0.3205176889896393
ARG,2017,-0.2383570373058319
ARG,2018,-0.21966256201267242
ARG,2019,-0.4273037016391754
ARM,2015,-0.4632575809955597
ARM,2016,-0.16072076559066772
ARM,2017,-0.20994122326374054
ARM,2018,-0.19733352959156036
ARM,2019,-0.17752809822559357
ASM,2015,1.2853628396987915
ASM,2016,1.2795357704162598
ASM,2017,1.2947691679000854
ASM,2018,1.2967134714126587
ASM,2019,1.2684597969055176
ATG,2015,0.5532047152519226
ATG,2016,0.47349441051483154
ATG,2017,0.4069781005382538
ATG,2018,0.3765656352043152
ATG,2019,0.36374160647392273
AUS,2015,1.7904787063598633
AUS,2016,1.71689772605896
AUS,2017,1.6445884704589844
AUS,2018,1.6745555400848389
AUS,2019,1.694471836090088
AUT,2015,1.8148508071899414
AUT,2016,1.7615967988967896
AUT,2017,1.7990174293518066
AUT,2018,1.8534495830535889
AUT,2019,1.8622503280639648
AZE,2015,-0.7172843813896179
AZE,2016,-0.5389087796211243
AZE,2017,-0.5847001075744629
AZE,2018,-0.6197751760482788
AZE,2019,-0.6102122068405151
BDI,2015,-1.1859676837921143
BDI,2016,-1.4848418235778809
BDI,2017,-1.414995789527893
BDI,2018,-1.5139068365097046
BDI,2019,-1.453600525856018
BEL,2015,1.4564698934555054
BEL,2016,1.3943068981170654
BEL,2017,1.3197791576385498
BEL,2018,1.3386164903640747
BEL,2019,1.3362269401550293
BEN,2015,-0.5549063682556152
BEN,2016,-0.6258313655853271
BEN,2017,-0.6446622610092163
BEN,2018,-0.6915779113769531
BEN,2019,-0.6770241260528564
BFA,2015,-0.5410161018371582
BFA,2016,-0.45476585626602173
BFA,2017,-0.4141954481601715
BFA,2018,-0.4588807225227356
BFA,2019,-0.4651540219783783
BGD,2015,-0.77043616771698
BGD,2016,-0.6708570122718811
BGD,2017,-0.6819220185279846
BGD,2018,-0.6497308611869812
BGD,2019,-0.6443876624107361
BGR,2015,-0.15900689363479614
BGR,2016,-0.13994242250919342
BGR,2017,-0.12498350441455841
BGR,2018,-0.10562567412853241
BGR,2019,-0.03694287687540054
BHR,2015,0.4002363383769989
BHR,2016,0.4305907189846039
BHR,2017,0.4192638397216797
BHR,2018,0.3839814066886902
BHR,2019,0.46415770053863525
BHS,2015,0.5697841048240662
BHS,2016,0.23415780067443848
BHS,2017,0.16321250796318054
BHS,2018,0.06953384727239609
BHS,2019,0.0461379736661911
BIH,2015,-0.26429322361946106
BIH,2016,-0.19181698560714722
BIH,2017,-0.20064795017242432
BIH,2018,-0.22513185441493988
BIH,2019,-0.22502775490283966
BLR,2015,-0.8789607286453247
BLR,2016,-0.7653708457946777
BLR,2017,-0.8795818090438843
BLR,2018,-0.8923038244247437
BLR,2019,-0.858075737953186
BLZ,2015,-0.7936062216758728
BLZ,2016,-0.9704434275627136
BLZ,2017,-0.9746955037117004
BLZ,2018,-0.8422777056694031
BLZ,2019,-0.8555157780647278
BMU,2015,0.8301104307174683
BMU,2016,0.8119837045669556
BMU,2017,0.8144514560699463
BMU,2018,0.8168885707855225
BMU,2019,0.7844093441963196
BOL,2015,-1.1619206666946411
BOL,2016,-1.2381759881973267
BOL,2017,-1.244755506515503
BOL,2018,-1.2118455171585083
BOL,2019,-1.1892247200012207
BRA,2015,-0.1872047334909439
BRA,2016,-0.2012297809123993
BRA,2017,-0.3056524693965912
BRA,2018,-0.30238771438598633
BRA,2019,-0.22417430579662323
BRB,2015,1.0639336109161377
BRB,2016,0.7639697194099426
BRB,2017,0.6265164017677307
BRB,2018,0.36392658948898315
BRB,2019,0.32416972517967224
BRN,2015,0.38117021322250366
BRN,2016,0.5349060893058777
BRN,2017,0.6179586052894592
BRN,2018,0.5987734198570251
BRN,2019,0.5870547890663147
BTN,2015,0.5349689722061157
BTN,2016,0.5099274516105652
BTN,2017,0.6300792098045349
BTN,2018,0.5485552549362183
BTN,2019,0.5848626494407654
SSD,2015,-1.8949661254882812
SSD,2016,-1.976793885231018
SSD,2017,-1.971941590309143
SSD,2018,-1.9861111640930176
SSD,2019,-2.008500814437866
BWA,2015,0.48348939418792725
BWA,2016,0.3798850476741791
BWA,2017,0.3597712516784668
BWA,2018,0.3837023079395294
BWA,2019,0.43436503410339355
CAF,2015,-1.7109664678573608
CAF,2016,-1.850577712059021
CAF,2017,-1.761831521987915
CAF,2018,-1.7166301012039185
CAF,2019,-1.764458179473877
CAN,2015,1.8072733879089355
CAN,2016,1.801364541053772
CAN,2017,1.7625300884246826
CAN,2018,1.7150954008102417
CAN,2019,1.719728946685791
CHE,2015,1.909451961517334
CHE,2016,1.9068315029144287
CHE,2017,1.8884048461914062
CHE,2018,1.8878772258758545
CHE,2019,1.8631188869476318
CHL,2015,1.2200568914413452
CHL,2016,0.9602264761924744
CHL,2017,0.9798427820205688
CHL,2018,0.9398281574249268
CHL,2019,0.9234504103660583
CHN,2015,-0.4093590974807739
CHN,2016,-0.32486966252326965
CHN,2017,-0.25621694326400757
CHN,2018,-0.18671953678131104
CHN,2019,-0.2623637020587921
CIV,2015,-0.6511381268501282
CIV,2016,-0.6622589826583862
CIV,2017,-0.6505231261253357
CIV,2018,-0.6021612882614136
CIV,2019,-0.6105604767799377
CMR,2015,-0.99801105260849
CMR,2016,-1.0586097240447998
CMR,2017,-1.052671194076538
CMR,2018,-1.1028953790664673
CMR,2019,-1.1435225009918213
COG,2015,-1.1364492177963257
COG,2016,-1.1496291160583496
COG,2017,-1.161364197731018
COG,2018,-1.1342617273330688
COG,2019,-1.1104050874710083
COL,2015,-0.2467547059059143
COL,2016,-0.26570287346839905
COL,2017,-0.366342157125473
COL,2018,-0.3836657702922821
COL,2019,-0.3910181224346161
COM,2015,-0.852633535861969
COM,2016,-1.0473313331604004
COM,2017,-1.1074631214141846
COM,2018,-1.142884612083435
COM,2019,-1.156975269317627
CPV,2015,0.5685334801673889
CPV,2016,0.28507256507873535
CPV,2017,0.3561260402202606
CPV,2018,0.39301615953445435
CPV,2019,0.45213863253593445
CRI,2015,0.4927762746810913
CRI,2016,0.43120720982551575
CRI,2017,0.4280421733856201
CRI,2018,0.46770110726356506
CRI,2019,0.5294375419616699
CUB,2015,-0.7195696234703064
