iso3,m_trust_general,m_trust_in_group,m_trust_out_group,m_trust_institution,n_trust_general,n_trust_in_group,n_trust_out_group,n_trust_institution,gps_trust,log_gdp_pc,gini,m_share_agriculture,rule_of_law,m_noise
ARG,0.20693277310924368,0.8653942115768463,0.6039778449144008,0.5380696939454424,952.0,1002.0,993.0,1002.0,-0.20673333,10.231372193040528,42.175,7.804587866934542,-0.3909366697072983,-0.5721975555132527
AUS,0.5401785714285714,0.8956028761061947,0.6786276142883583,0.6347414589104341,1792.0,1808.0,1801.0,1805.0,0.29897258,10.950765384710596,34.0,2.6055385208535182,1.704198455810547,1.2089496331620018
BGD,0.1292743953294412,0.8519599666388658,0.48370927318295737,0.7805902777777778,1199.0,1199.0,1197.0,1200.0,-0.17336532,8.708536381028507,32.4,41.6820646741434,-0.6834667444229126,0.08397991870054435
BOL,0.08597948216902784,0.7277455249153363,0.43390179003386553,0.5223653442993065,2047.0,2067.0,2067.0,2067.0,-0.16032963,9.36218808917544,44.14,27.54765318875726,-1.20918447971344,1.2836020389403422
BRA,0.06647398843930635,0.7593198634035287,0.5240375452639604,0.5829536826119969,1730.0,1757.0,1749.0,1756.0,-0.0026891388,9.794106146036938,53.2,9.251194568786683,-0.24412980079650878,0.6335162113605605
CAN,0.4950223992035839,0.8689024390243902,0.6890451302472208,0.6331663763066202,4018.0,4018.0,4018.0,4018.0,0.24527504,10.943059337905705,32.8,1.6329725448750618,1.7611984729766845,-1.8188626523197196
CHL,0.14271047227926079,0.7864114114114115,0.5322769953051644,0.5662403878301572,974.0,999.0,994.0,997.0,-0.0832141,10.242886140824782,45.3,7.333051542445114,1.0046809434890747,0.4673806127809242
CHN,0.6543702226653373,0.8577316188592153,0.48850764324205426,0.7317012858555886,3009.0,3033.0,3031.0,3033.0,0.5528058,9.729320204057291,38.58,26.575932848375523,-0.28790578842163084,0.2529824214326896
COL,0.045394736842105265,0.7611842105263158,0.4756578947368421,0.5483552631578947,1520.0,1520.0,1520.0,1520.0,0.0055465335,9.743923792015662,51.739999999999995,15.59378085624046,-0.33069672584533694,-0.19773326660002266
CZE,0.37279596977329976,0.843932443703086,0.5812795878585353,0.6109949832775919,1191.0,1199.0,1197.0,1196.0,-0.45068413,10.71165066896269,25.3,2.8191839830668224,1.044088566303253,-0.7706383147004933
DEU,0.45951417004048584,0.8802390307793059,0.6109541223404256,0.6655464480874317,1482.0,1527.0,1504.0,1525.0,-0.11882253,11.027020137518331,31.619999999999997,1.288260343829136,1.6179471969604493,0.3303445359073165
EGY,0.07351712614870509,0.9084375,0.5201702959240647,0.7433930093776641,1197.0,1200.0,1194.0,1173.0,0.6090209,9.55657013997741,31.733333333333334,23.89164540767822,-0.4334514856338501,1.1570154221200055
GBR,0.4670821971172575,0.9052550824702723,0.6968938518803749,0.616805768738808,2567.0,2607.0,2597.0,2606.0,0.23470205,10.860603039004323,33.1,1.118803666290852,1.645641040802002,-0.40890914399147865
GRC,0.08417508417508418,0.8714553794829024,0.46175034867503495,0.6203394546466332,1188.0,1199.0,1195.0,1198.0,-0.3515055,10.379952071454738,34.28,11.82118273989412,0.13678816258907317,-1.4903507743958617
IDN,0.051891216005001566,0.76734375,0.4637109375,0.80296875,3199.0,3200.0,3200.0,3200.0,0.26359722,9.375955076412765,36.64,30.55283772493322,-0.3545965671539307,-0.4605053118162978
IRN,0.1483957219251337,0.8586557705136758,0.5471740097908323,0.7346425394707583,1496.0,1499.0,1498.0,1499.0,0.30047,9.643889077145309,36.36,16.24560332447914,-0.7639985322952271,-1.0014294607331993
JPN,0.3559718969555035,0.8358264771877337,0.48555891673869206,0.6274427433408015,1281.0,1337.0,1157.0,1339.0,-0.5187299,10.72501771759918,32.04,3.58584345238191,1.4782095670700073,0.7088901725445899
KAZ,0.23891625615763548,0.8339215686274509,0.5300670347003155,0.7275223625361747,1218.0,1275.0,1268.0,1267.0,0.15293807,10.365994172235943,27.46,15.556479170503959,-0.5058477997779847,-0.19287452976777875
KEN,0.09584664536741214,0.8237331749802058,0.5339886153031507,0.659931325937665,1252.0,1263.0,1259.0,1262.0,-0.42230323,8.496426034633567,40.8,51.15931105384696,-0.4569970190525055,-2.42573021450208
KOR,0.3293172690763052,0.8395582329317269,0.5044846050870146,0.6391566265060241,1245.0,1245.0,1245.0,1245.0,-0.09921464,10.76679706019359,34.25,4.970251354643056,1.1033498287200927,-0.9987049819576244
MEX,0.10299194476409666,0.7517231476163124,0.4523262492820218,0.5096089412215202,1738.0,1741.0,1741.0,1741.0,-0.3570721,9.984760332558874,46.45,13.359013493970782,-0.5842359840869904,0.276744409694671
NGA,0.12682926829268293,0.7660670978172999,0.5261721907841552,0.6369240097008892,1230.0,1237.0,1237.0,1237.0,-0.057804402,9.04894893088218,35.5,39.639459698928235,-0.953133761882782,-1.6872222518253686
NLD,0.6120556414219475,0.9193430656934306,0.704128244535519,0.6048321048321048,1941.0,2055.0,1952.0,2035.0,0.29805693,11.090175656291336,28.439999999999998,2.143963575982234,1.7983410835266114,-0.08125688425450912
PAK,0.23496715512885297,0.8545636910732196,0.48400335008375206,0.7201023391812865,1979.0,1994.0,1990.0,1995.0,-0.10337088,8.521761759496307,30.450000000000003,39.775630138353804,-0.7395649790763855,-0.8474219637894537
PER,0.05304659498207885,0.7254464285714286,0.41306032427277056,0.4898290445556349,1395.0,1400.0,1398.0,1399.0,-0.0969185,9.620718711632875,42.839999999999996,24.489747291018283,-0.5211288928985596,0.4892923150967331
