iso3,m_trust_general,m_trust_in_group,m_trust_out_group,m_trust_institution,m_noise,m_share_agriculture,gps_trust,rule_of_law,gini,log_gdp_pc,n_trust_general,n_trust_in_group,n_trust_out_group,n_trust_institution
ARG,0.2069327731092436,0.8653942115768463,0.6039778449144008,0.5380696939454424,-0.5721975555132527,7.804587866934542,-0.20673333,-0.3909366697072983,42.175,10.231372193040528,952.0,1002.0,993.0,1002.0
AUS,0.5401785714285714,0.8956028761061947,0.6786276142883583,0.6347414589104341,1.2089496331620018,2.6055385208535182,0.29897258,1.704198455810547,34.0,10.950765384710596,1792.0,1808.0,1801.0,1805.0
BGD,0.1292743953294412,0.8519599666388658,0.4837092731829573,0.7805902777777778,0.0839799187005443,41.6820646741434,-0.17336532,-0.6834667444229126,32.4,8.708536381028507,1199.0,1199.0,1197.0,1200.0
BOL,0.0859794821690278,0.7277455249153363,0.4339017900338655,0.5223653442993065,1.2836020389403422,27.54765318875726,-0.16032963,-1.20918447971344,44.14,9.36218808917544,2047.0,2067.0,2067.0,2067.0
BRA,0.0664739884393063,0.7593198634035287,0.5240375452639604,0.5829536826119969,0.6335162113605605,9.251194568786683,-0.0026891388,-0.2441298007965087,53.2,9.794106146036938,1730.0,1757.0,1749.0,1756.0
CAN,0.4950223992035839,0.8689024390243902,0.6890451302472208,0.6331663763066202,-1.8188626523197196,1.6329725448750618,0.24527504,1.7611984729766843,32.8,10.943059337905703,4018.0,4018.0,4018.0,4018.0
CHL,0.1427104722792607,0.7864114114114115,0.5322769953051644,0.5662403878301572,0.4673806127809242,7.333051542445114,-0.0832141,1.0046809434890749,45.3,10.242886140824782,974.0,999.0,994.0,997.0
CHN,0.6543702226653373,0.8577316188592153,0.4885076432420542,0.7317012858555886,0.2529824214326896,26.575932848375523,0.5528058,-0.2879057884216308,38.58,9.729320204057291,3009.0,3033.0,3031.0,3033.0
COL,0.0453947368421052,0.7611842105263158,0.4756578947368421,0.5483552631578947,-0.1977332666000226,15.59378085624046,0.0055465335,-0.3306967258453369,51.739999999999995,9.743923792015662,1520.0,1520.0,1520.0,1520.0
CZE,0.3727959697732997,0.843932443703086,0.5812795878585353,0.6109949832775919,-0.7706383147004933,2.8191839830668224,-0.45068413,1.044088566303253,25.3,10.71165066896269,1191.0,1199.0,1197.0,1196.0
DEU,0.4595141700404858,0.8802390307793059,0.6109541223404256,0.6655464480874317,0.3303445359073165,1.288260343829136,-0.11882253,1.6179471969604493,31.619999999999997,11.027020137518331,1482.0,1527.0,1504.0,1525.0
EGY,0.073517126148705,0.9084375,0.5201702959240647,0.7433930093776641,1.1570154221200055,23.89164540767822,0.6090209,-0.4334514856338501,31.733333333333334,9.55657013997741,1197.0,1200.0,1194.0,1173.0
GBR,0.4670821971172575,0.9052550824702724,0.6968938518803749,0.616805768738808,-0.4089091439914786,1.118803666290852,0.23470205,1.645641040802002,33.1,10.860603039004324,2567.0,2607.0,2597.0,2606.0
GRC,0.0841750841750841,0.8714553794829024,0.4617503486750349,0.6203394546466332,-1.4903507743958615,11.82118273989412,-0.3515055,0.1367881625890731,34.28,10.379952071454738,1188.0,1199.0,1195.0,1198.0
IDN,0.0518912160050015,0.76734375,0.4637109375,0.80296875,-0.4605053118162978,30.55283772493322,0.26359722,-0.3545965671539307,36.64,9.375955076412763,3199.0,3200.0,3200.0,3200.0
IRN,0.1483957219251337,0.8586557705136758,0.5471740097908323,0.7346425394707583,-1.0014294607331993,16.24560332447914,0.30047,-0.7639985322952271,36.36,9.643889077145309,1496.0,1499.0,1498.0,1499.0
JPN,0.3559718969555035,0.8358264771877337,0.485558916738692,0.6274427433408015,0.7088901725445899,3.58584345238191,-0.5187299,1.4782095670700073,32.04,10.72501771759918,1281.0,1337.0,1157.0,1339.0
KAZ,0.2389162561576354,0.8339215686274509,0.5300670347003155,0.7275223625361747,-0.1928745297677787,15.55647917050396,0.15293807,-0.5058477997779847,27.46,10.365994172235943,1218.0,1275.0,1268.0,1267.0
KEN,0.0958466453674121,0.8237331749802058,0.5339886153031507,0.659931325937665,-2.42573021450208,51.15931105384696,-0.42230323,-0.4569970190525055,40.8,8.496426034633567,1252.0,1263.0,1259.0,1262.0
KOR,0.3293172690763052,0.8395582329317269,0.5044846050870146,0.6391566265060241,-0.9987049819576244,4.970251354643056,-0.09921464,1.103349828720093,34.25,10.76679706019359,1245.0,1245.0,1245.0,1245.0
MEX,0.1029919447640966,0.7517231476163124,0.4523262492820218,0.5096089412215202,0.276744409694671,13.359013493970782,-0.3570721,-0.5842359840869904,46.45,9.984760332558874,1738.0,1741.0,1741.0,1741.0
NGA,0.1268292682926829,0.7660670978172999,0.5261721907841552,0.6369240097008892,-1.6872222518253686,39.639459698928235,-0.057804402,-0.953133761882782,35.5,9.04894893088218,1230.0,1237.0,1237.0,1237.0
NLD,0.6120556414219475,0.9193430656934306,0.704128244535519,0.6048321048321048,-0.0812568842545091,2.143963575982234,0.29805693,1.7983410835266114,28.44,11.090175656291336,1941.0,2055.0,1952.0,2035.0
PAK,0.2349671551288529,0.8545636910732196,0.484003350083752,0.7201023391812865,-0.8474219637894537,39.775630138353804,-0.10337088,-0.7395649790763855,30.450000000000003,8.521761759496307,1979.0,1994.0,1990.0,1995.0
PER,0.0530465949820788,0.7254464285714286,0.4130603242727705,0.4898290445556349,0.4892923150967331,24.489747291018283,-0.0969185,-0.5211288928985596,42.84,9.620718711632875,1395.0,1400.0,1398.0,1399.0
